用户名,推荐,游戏时长,评论,政治敏感,评论长度,情感得分
消失的杜某,Not Recommended,31.6,"
					34级学院杯我真的谢你全家",0,19,0.7956972420247959
Littlechen,Recommended,45.3,"
					缺点：除了主线以外不需要上课，不需要睡觉，不需要吃东西，没有任何需求，咒语组合少，当着老师面用索命咒也无事发生，不能谈恋爱，物品交互少，npc对话少，集齐收藏需要频繁跑图＋听声辩位+重复性解密，有求必应屋就是咱个人专属的，人物模型驼背，有一堆黑哥黑妹优点：四季好看，城堡好看，服装好看，拍照好看，神奇动物好看，前期探索好玩",0,167,0.9999999997807063
佛罗里达州正义刑警,Not Recommended,4.8,"
					屎一样的优化",0,12,0.6923786120385603
拾梦白菀,Recommended,15.5,"
					从小就喜欢上哈利珀特这本小说 也是小说电影和影视城都去过 买这个游戏属于是为童年买单了再来 打了几个美化mod 愣是给我完成美少女jkの奇妙魔法之旅",0,80,0.9999999831113581
日照・索隆,Recommended,104.4,"
					我媳妇儿爱玩的游戏就是好游戏，必须好评",0,25,0.8007192281690989
爬行金龙,Recommended,28.2,"
					好玩",0,8,0.7894736842105263
barry,Recommended,73.2,"
					对于哈迷来说就是天堂，完美还原了书中的各种场景。但一个很大的问题是各个学院的剧情大部分是一样的，只有一小段内容不同，但为了这一小段内容那个要把前面的重复剧情打好几次，很影响体验。",0,95,0.9999895531912348
复仇者,Recommended,39.9,"
					不错的游侠",0,11,0.848177245702349
xulong9981,Recommended,23.3,"
					即便是罐头也是个有意思的罐头，对于哈迷有多美妙就更不用说了",0,35,0.9958887384848933
大麦,Not Recommended,0.9,"
					或许我的评论失之偏颇，但从捏脸就感觉整个有点怪怪的，那么只要你占了一点，那么我就要给差评，我讨厌这东西，我就是要说出来，这是垃圾，不管其他方面怎么样，这巧克力里参屎我是无法接受的。",0,96,0.005976258064382511
闇の靈,Not Recommended,89.0,"
					优化极烂，任务卡死导致死档，修复游戏文件也没用，潜水进入宝库直接掉出世界",0,42,0.11417113360441655
樂奇少,Recommended,48.8,"
					剧情一般，音乐不错，战斗也还行。游戏重复度有点高，玩久了会很没意思。总的来说，游玩体验相对一般，偶尔玩玩，体验一下哈利波特世界，倒还不错。",0,75,0.9999993628338991
横跨五岳,Recommended,75.9,"
					打折购入，用魔咒，拯救野生动物爽翻了，感谢它给我带来这么多开心的时间",0,40,0.9999723486086964
2584285130,Recommended,25.7,"
					原著党狂喜！地图很漂亮，飞行系统太赞了！",0,26,0.9803176734686438
暴躁老鸽,Recommended,18.6,"
					游戏是好游戏，对于读过原著哈利波特的玩家来说能是一场有沉浸感的冒险，但是政治正确还是很恶心",1,51,0.999999631220886
存中,Recommended,10.7,"
					好玩",0,8,0.7894736842105263
墨明MU棋妙,Recommended,195.3,"
					195小时地图全收集+全收藏+全挑战+全成就达成！虽然在霍格沃茨之遗中并没有哈利·波特和伏地魔，但在原著中大量设定性质的内容都得到了很好的还原，城堡内部装饰细节满分，野外风景秀丽，可骑上魔法扫帚提升视野空间，BGM沉浸感不错，地图探索点比较多且重复度高，都是些简单的解谜+试炼，战斗节奏快，很考验玩家的连击操作，后期开锁开到麻木，除了丰富的外观系统，还可以把收集到的资源用于有求必应屋的魔药制作，种植，魔宠培养，装备升级等等~",0,219,1.0
LittleTom,Recommended,34.8,"
					不闪退了，更新优化到现在总算能流畅玩了",0,25,0.29055499763673764
不高兴,Recommended,20.2,"
					它不是一款普通罐头，它是魔法罐头，是哈利波特世界的罐头（时不时蹦出的政治正确是真尼玛让人反胃啊",1,53,0.9999942338759494
Reindote,Recommended,59.7,"
					非常好游戏，使我成为黑魔法大师",0,21,0.999367706912191
烫烫烫烫烫烫烫烫,Recommended,39.3,"
					政治正确真的要害掉所有艺术品了若不是刚刚读完哈利波特全集，没有ip加成这游戏我是真的玩不下去一点。值得夸赞的是城堡和风景以及不同季节的建模、拍照很出片，各种法术的还原度、打击感，战斗起来还是挺爽快的，还有后期开商店的那个闹鬼地牢支线，整体的完成度和恐怖氛围营造的我觉得比游戏其他所有部分加起来都要用心，印象很深。但是能吐槽的就太多了，挑几点说一说1：天赋系统：开放的如此之慢，沙盒类游戏一般前期闲逛开地图的时间要占据大部分，不会谁老老实实上来一个主线一个主线做的。以至于我在19级的时候才解锁天赋系统，一下子一堆加成，和之前的跨越太大了。2：支线任务：真尼玛脑残，都是些什么弱智问题，捡个石头、去找个人找个东西，不会做可以不做，别这么灌水赶工，人的时间都很宝贵的。（更别说支线也不给奖励，后面会提到）3：奖励：这游戏是我玩这么多沙盒游戏，奖励最没劲的一个，可能也是这游戏可以升级的地方太少，金币能买的东西也少得可怜，也没什么难度比较高的boss和精英怪，装备系统升级区别也不大，完成很多支线任务只是在你的挑战进度条里+1，攒够一堆才能完成一个挑战，然后给些无关痛痒的装饰和附魔，真是绝了，没有让人花时间去完成挑战、打野怪、捡垃圾开箱子的激励，这对沙盒游戏简直是灾难。更别说那些反反复复的开锁、梅林试炼、镜子蝴蝶挑战、学院徽章那些玩意，除去谜题本身无聊透顶、爬到宝箱的距离巨远无比，给的奖励真的让人硬不起来。4：地图指引：霍格沃兹学院的构造导致无法使用传统二维地图来描绘，但是你这个地图做了个什么玩意儿，上上下下的关系完全看不出来，看着离得很近绕老远才能到。除非花费大量时间记城堡内的各种位置，否则别想自行导航。5：任务指引：我本来跑得好好的，路上接个支线导航就给我干到新接的任务上了。逻辑有问题。6：大理石楼梯：居然变成了环形的，和原著完全不一样。我甚至觉得手游的还原程度都比这个好。7：交通工具：飞天扫帚解锁的也够慢的，导致游戏前期体验很差。后面夜骐单纯就是原著党体验一下了，效率太低。剧情俗套，卢克伍德死的奇奇怪怪，菲戈也死的莫名其妙，摸不着头脑。最后还是那句话，政治正确再这么搞真的完蛋。本来一个少数群体生生被你在游戏里搞成了多数派，黑人、亚裔、美洲裔、同性恋、非二元性别遍地都是，基因多样性在这里完美体现，我甚至觉得看到一个正常的白人都不容易。看过原著的可以尝试，对原著不感冒的千万别玩！",1,1004,1.0
加盐的砂糖酱.,Recommended,40.8,"
					破案了，五年级才上学，前四年都在阿兹卡班。遇事不决先来个阿瓦达索命😋",0,40,0.9993111576984086
Grohiik Nahlot,Not Recommended,16.9,"
					前面有新鲜感还好，后面罐头吃腻了是真想吐特别是为了找猫头鹰月亮雕像在学校兜圈子两三个小时一无所获后，突然意识到这游戏的收集要素只是为了拉长游戏时间而浪费我的生命",0,86,0.12254684575043362
脑力王,Not Recommended,49.5,"
					大粪中的大粪。吃得屎中屎，争做人下人。除了画面和建模以外，找不到任何优点的游戏。随处可见的空气墙，巨婴支线任务，垃圾的解锁系统，时而超人时而半身不遂的弹跳，粑粑一样的建模。尤其是那个臭傻逼开锁，玩过的应该都知道这有多毁体验吧。特别是那个傻逼二级锁门后面再给你一个二级锁的箱子，这到底是那个截肢截到大脑的设计师想出来的。伪大世界闹麻了，套大世界的线性游戏。这游戏你就玩吧，你会玩到全是尼哥和世界各地的人种基因收容所，你会玩到俄罗斯套锁，你会玩到顶级巨婴同学，你会玩到半身不遂的主角，你会玩到各种空气墙，你会玩到全是套皮小怪，你会玩到没有一键出售、卖东西要卖1分钟出售系统，你会玩到没有提示，用什么魔法纯靠猜的梅林试炼，等等等等……这就是ign9分的“优秀”游戏啊。",0,337,0.9999999999993381
Lewis,Recommended,40.0,"
					8/10，因为我不是《哈利波特》的粉丝，本作完全是抛开粉丝滤镜来玩，个人认为本作是一款成功的粉丝向游戏，但不一定适合所有路人玩家。",0,71,0.9999332095513911
479733958,Recommended,31.2,"
					内容丰富",0,10,0.4361628709454797
8.0WR16 64v4T,Not Recommended,5.1,"
					不好玩  像个小孩过家家的游戏",0,21,0.9216252786955674
粥粥,Recommended,59.0,"
					通关了都没有学三个黑魔法，我真服了。怎么突然间就通关了啊",0,34,0.6069061843629665
築夢ぐ太子,Recommended,140.6,"
					BUG太多了 到现在还没通关 无语",0,23,0.04227327470808262
吃太饱de肚子,Recommended,57.5,"
					喜欢，好玩，很喜欢，很好玩",0,19,0.9947997298991399
上帝啊，让我在救一个,Recommended,32.5,"
					还行",0,8,0.7194444444444446
sanfeng,Recommended,42.1,"
					伟大，无需多言",0,13,0.8780844279994069
2161461161,Recommended,13.2,"
					好玩",0,8,0.7894736842105263
斑鳩,Not Recommended,6.7,"
					全员麻风病人，玩你妈",0,16,0.23740604649256836
cherrie,Recommended,19.5,"
					好玩爱玩多玩",0,12,0.9709751131989907
NooMdd,Recommended,11.4,"
					原著党满意",0,11,0.8819377485307418
SHIYUUUU0,Not Recommended,43.2,"
					还出什么终极版呢，玩着真有点无聊，都没法支持我把地图开完虽然mod能有效治理它的蜜汁滤镜 满街zzzq 单调重复的解密 单调重复的开锁 单调重复的npc 小的可怜的背包 椅子不能睡床也不能坐但当它光本体就会莫名其妙闪退开始，装mod竟然变成唯一有意思的事",1,133,0.001485829976547115
胡哥,Recommended,6.1,"
					你想学魔法吗？我的同学",0,17,0.9937136311912479
弱竹无叶,Recommended,31.0,"
					哈密瓜必备哈哈",0,13,0.23310080167256841
Takanashi Kotori,Recommended,60.9,"
					总结：人这一辈子总得去霍格沃茨耍耍吧！哈迷必玩！霍格沃茨校园留学生模拟器，哈利波特世界观旅游模拟器，战斗系统设计见仁见智按下不表，如果愿意折腾多打点mod，还是玩得比较如意的，推荐打折购入（游戏里霍格沃茨校园的细节和体量，够细细逛上10小时不止，联想到去年和兄弟们一起去的日本环球影城的霍格沃茨园区，甚是怀念，玩下游戏也算是不错的补充体验了; ）游戏时间39小时评：++ 霍格沃茨偌大的校区让人拥有长久的新奇感与探索欲望，行走在魔法学校的校区里是真的很靓仔啊+ 这是什么？Accio一下！这是什么？Incendio一下！这是什么？Leviosa！释放咒语与环境元素的互动、解谜偶尔有些许旷野之息的丰富互动既视感+ 丰富的世界观，即使是收集地标看解说文字也津津有味，让人有很强的探索欲望，希望搞懂这个魔法世界的所有新奇玩意- 女性主角头发和衣服穿模严重，基本上不想再穿斗篷，打mod直接全程衬衣+短裙了- zzzq纯纯恶心人，不过n网花点功夫找mod，不管是想要短裙黑丝遍地走的纯正英伦校园风，还是给酒吧“女”老板树立正确性别认知，还是黑人同学统统替换成白人同学，都能满足个人喜好- 优化拉跨，还是得折腾，去b站搜优化教程，3070基本全高画质再加中等光追也能稳60帧+，4070可以稳定80帧+",1,553,1.0
晨妹爱吃小笼包,Recommended,72.4,"
					哈迷此生必入！！游戏性不高，观赏性拉满！100块买张霍格沃茨门票完全不亏，画面非常好，把它当成旅游模拟器，能看到这个魔法世界已经值回票价了。",0,76,0.9992022345594114
1433436447,Not Recommended,1.5,"
					不是纯情怀的话，不建议尝试。不论是画风还是叙事风格，都很像是12-游戏，性价比不如原神。",0,50,0.9962637062988601
kusawww,Not Recommended,58.3,"
					叙事上没有亮点 战斗系统也是一团糟 锁定没几次是玩家想要的 角色性能膨胀所以怪物性能也跟着膨胀 打完最终boss都不给满级 装备系统和等级系统一起毁掉了 最终boss战 只能说是带有一定平a要素的QTE演出 厂商不会认为这样设计BOSS很好玩吧",1,128,0.9899816801702698
HuaD,Recommended,60.8,"
					场景非常还原",0,12,0.7144630891310644
baisijia2020,Recommended,24.3,"
					还不错对于喜欢探索城堡的人来说",0,21,0.9997274955050349
2538470441,Recommended,48.9,"
					粉丝向作品，剧情一般般吧，给满分是情怀，但是我的恩师萨巴斯蒂安的剧情真的不错，个人建议玩玩支线，一周目目前还没玩完，风景好看拍照好看，起码我玩的很开心，就是开局捏脸太难绷了，男的脸还好，女的脸简直丑完了，不打mod根本看不了，简直丑的我不想玩女号，强烈推荐伙伴mod，可以去n网搜搜看，真的很提升游戏体验，闪退之类的问题我基本没遇到过，可能是运气好吧，这游戏我推荐原著粉丝买，没看过原著的还是慎重考虑，但是非粉想入坑的可以试试，这游戏总体上还是一个不错的罐头。——来自小黑盒用户唯小唯啊的评价",0,252,0.9999995015665575
bairin4869,Recommended,35.5,"
					确实好玩，场景震撼，剧情好玩，魔法党一本满足",0,28,0.9999418814632014
2228200865,Recommended,8.1,"
					SHI诗优化，",0,13,0.9326450440915514
1302642092,Not Recommended,17.5,"
					游戏角色丑，bug还贼多，在各种奇怪的地方卡死，地图都打不开，只能回档。",0,42,0.05381765057030774
2701353707,Recommended,16.5,"
					hp题材",0,10,0.8119177088225904
趙,Not Recommended,3.6,"
					优化差",0,9,0.1969786927506415
Jeff Yi,Recommended,3.8,"
					挺好玩的",0,10,0.9047667217235588
yixiao223,Recommended,49.3,"
					推荐所有哈利波特粉丝入这款游戏，除非你是奔着哈利本人或者别的谁来的，这里面几乎一个原著人物也没有，但整个世界观还是构造的可以的",0,69,0.9999995824853904
Revolver,Recommended,74.2,"
					史上最强主角。上古血脉，最后一位上古魔法使用者。死咒都只是基础杀招。有求必应屋当家使。人生导师塞巴斯蒂安。哈利波特一生只杀了两个人，他上学路上就杀了几个。Avada Kedavra",0,96,0.9999999911496008
柴,Not Recommended,38.8,"
					玩过最无聊的游戏之一，从头到尾都是不停的重复，就连做主线任务都是一种煎熬和折磨，后面看到带拉环的平台和那些如大芬一样多的蜘蛛和哥布林我都感到恶心，只能说除了城堡之外一无是处。",0,93,0.6891980754472499
tomatomatooo,Recommended,20.6,"
					最好的hp游戏",0,13,0.929033830571507
behbeh0922,Recommended,93.3,"
					一坨好吃的屎 然后就是闪退的问题 玩完只能说幸亏我是史低买的",0,36,0.09578552169496057
hq不是der,Recommended,25.5,"
					旅游探索，类似于模拟器的",0,18,0.9803080547342479
宿莽,Not Recommended,90.2,"
					垃圾游戏",0,10,0.24827793300901713
violet,Recommended,75.9,"
					bug真的多第一场试炼冥想盆那个bug 一年了 都不见修复还有潜水到水里加载后直接给我卡水下了 动都动不了 人物还嘎嘎游呢我只能说粉丝向作品 如果不是想去魔法世界骑扫帚我应该不会买T-T结果魁地奇没了 伤心 但是主角强到逆天 爽文！",0,122,0.9994129982826303
P1an.B,Recommended,20.7,"
					豪丸",0,8,0.5
周润发,Recommended,96.1,"
					看完电影来玩还是有加持的快乐，整个世界打造得很美很美，就是能飞得更自由一些就好了",0,46,0.99999996538928
血月,Recommended,37.6,"
					如果你是魔法世界的粉丝，你就买，如果你是游戏玩家，那就赶紧润。打骨折也可以入",0,44,0.9931362622758171
懒癌晚期,Recommended,43.6,"
					内容很多",0,10,0.5686222748618085
ALITER,Not Recommended,54.6,"
					一堆无聊的垃圾小游戏",0,16,0.03337147648782124
名字还没想好,Recommended,65.3,"
					好玩爱玩",0,10,0.9482519885967862
little star,Recommended,51.1,"
					好玩无需多言 
",0,14,0.6369674930801491
city,Recommended,7.6,"
					好玩，爱玩！哈迷狂喜！",0,17,0.9817500895642163
sbcao,Recommended,44.3,"
					对哈利波特感兴趣的都可以入，对于喜欢二创的来说更是一件礼物。战斗系统做的很帅，光是主线流程就有二三十个小时。唯一的问题是完成所有任务后会很无聊",0,77,0.9999280182675883
Woodward,Recommended,52.4,"
					超级还原的霍格沃兹风光，让我在最初游戏的20小时里充满了惊奇与探索的好奇心，总是迫不及待地去体验之前在电影世界里感受到的一切。第一次进入学校，第一次上课，第一次拿起魔杖，第一次进入有求必应屋，第一次坐上扫帚。。。光是在学校里闲逛都能给我极大的喜悦。但这种感觉到了游戏的中后期全都荡然无存了，无聊的战斗和大量没有代入感的支线任务，主角生硬的面部表情，重复的敌人和解密手法。。甚至在过完所有主线剧情后离进行学院杯的要求都还有4级差距，让我不得不又硬着头皮花了几小时去刷级。游戏前中期我给95分，但后期只有60分。让我接下来一段时间都不想在接触开放世界游戏了。总的来说是如今哈迷能玩到的最好的粉丝向游戏了，做任务路上啃的大瓜比伏地魔一整个系列电影都多",0,328,1.0
雷神风暴,Recommended,24.0,"
					刚开始进入游戏非常惊艳，画都能动，物品到处飞，处处充满了魔法的气息，是正宗的霍格沃茨的感觉。但是，里面的动画太多太慢了，比如打开一个菜单，翻个页都要好几秒，那个破地图看的人也鬼火冒，很烦躁。各种收集有点多，炼个药要等十分钟，你他妈的你这是单机游戏啊。除非是时间太多，打主线吧，主线很多任务要求先完成教授们的作业，也是各种收集和合成。感觉玩不动了。还有里面人物都很丑，最漂亮的竟然是草药老师。",0,201,0.9999485742888408
Copper_bell,Recommended,34.4,"
					即使不是粉丝也能很好的体验到巫师世界的精彩，剧情后劲儿不足",0,35,0.9923842354981235
雷霆之怒,Not Recommended,22.8,"
					为什么玩了20多小时现在台式电脑和笔记本进这游戏都黑屏啊，只能弃游了",0,40,0.25229146931909563
水共月生华,Recommended,19.1,"
					好玩",0,8,0.7894736842105263
洋葱,Not Recommended,41.0,"
					解密里穿插战斗，战斗太小儿科了，支线太无聊了，唯一的优点就是城堡设计的还可以，可以当做霍格沃兹旅游模拟器",0,58,0.8228796835258371
上排打桩机,Recommended,74.8,"
					优化太垃圾 a一下卡一下 祝你叼之别也一卡一卡的",0,30,0.030429210229041548
猫又又爱喝奶茶,Recommended,62.5,"
					符合我对霍格沃茨的想象，还是很有沉浸式体验的",0,28,0.9947291870635728
Didiao,Recommended,26.7,"
					游戏可以",0,10,0.7160804020100503
6324upup,Not Recommended,5.6,"
					对我而言很无聊，剧情无语，战斗低幼，优化还不好",0,29,0.1515903018246123
祈瑞,Recommended,61.7,"
					粉丝向的罐头游戏，如果你是一位只是想体验一下霍格沃兹的校园生活，和神奇动物相处，时不时拯救一下世界的小巫师，会喜欢上这款游戏的。在飞行课第一次骑上扫帚起飞目睹霍格沃兹全境的时候那种震撼的感觉是无法替代的，就像是小说里的霍格沃兹真的走出来了。虽然部分支线做得很难评，玩法罐头重复性比较高，但我认为瑕不掩瑜。是一款好的游戏（仅对于打折史低价格来讲）",0,178,0.9999999999991418
少卿大人,Recommended,102.8,"
					100h主线+全支线通关评价首先从玩法和游戏体验来讲本作堪称神作，几乎完美还原了魔法世界的每个细节。不管是神秘的霍格沃滋城堡，还是阴森可怖的禁林，还有广阔的苏格兰高地景观，都让人感到身临其境，画面虽说感觉不如yb开放世界那种每一帧都是壁纸的电影级画面，但是有一种很舒服的魔幻风体验，也不像一般的奇幻类开放世界游戏总是钻什么墓穴地道让人感觉十分压抑。还原魔法决斗的战斗方式各种咒语的释放或者格挡破防表现都如行云流水般的流畅，甚至有种剑客过招般的潇洒感。但是作为一款文学作品改编的角色扮演开放世界游戏来讲，本该重视并且突出的剧情方面可以说是本作硬伤，首先是主角背景完全没有介绍，不管是主角的家庭还是出身以及为什么五年级才入学霍格沃滋甚至为什么会天生拥有操纵古代魔法的能力都完全没有介绍说明，主角就好像石头里蹦出来的一样横空出世完全没任何铺垫和描写。另外主角成长过程基本跟爽文剧情一样，天生能操纵古代魔法这种血脉压制就不说了，什么咒语甚至包括黑魔法不可饶恕咒都是一学就会，直接达到实战效果。什么魔药只要看了配方立刻就能自己制作，完全不会出错或者失败，基本上课就是为了陪教授和同学们玩玩，分院仪式更是四大学院随你挑，分院帽只是为了宣布你自己的选择。另外视校规甚至魔法部为无物，别人都要宵禁前老老实实回公共休息室住宿舍，主角是白天黑夜任我行，什么禁林禁书区教职工塔随便你玩，甚至霍格沃滋管理员亲自教主角开锁咒，让主角畅行无阻。有求必应屋更是提供私人总统套房加四大魔法生物驯养驯养区，独角兽凤凰等珍稀动物都跟宠物一样给你随便撸。五年级学生单挑两三个山怪，在黑巫师城堡七进七出都是常规操作。阿瓦达大瓜随便啃，阿兹卡班直接选择性忽略你的存在。完全是汤姆里德尔闻之色变，哈利波特观之流泪。另外结局看似多选择多结局其实完全没有什么区别，我直接选择掌控上古魔法除了眼睛红了一下cg有一点区别以外无任何区别，照样老老实实完成学业，照样一人一百分直接带领学员拿下学院杯。另外我一个掌控上古魔法的主角还得去参加普通巫师等级考试。总之本作只要不深究三流网文一样的剧情他就是个神作，而且个人感觉就冲霍格沃滋这个招牌和魔法世界这个IP，目前因为没有其他同IP作品，所以完全可以弥补这二百五剧情损失的分数。——来自小黑盒用户少卿大人的评价",1,957,1.0
理应如此,Recommended,67.4,"
					塞包太可爱了，想和塞老师一起结伴冒险，华纳交出伙伴系统，别逼我求你呜呜呜",0,42,0.7313761232225227
the Half-blood Prince,Not Recommended,37.6,"
					没玩过优化这么垃圾的游戏，我4080+32G的配置不管高画质还是低画质都能频繁掉帧，还有战斗的时候掉帧严重。出来这么久了就一点优化都没有吗？什么垃圾制作组还出上新作了，不推荐买。",0,95,0.3055288706116873
keiki,Recommended,38.0,"
					如果人物建模再好看点、互动再多点就好了",0,25,0.9611588900765073
392920572,Not Recommended,44.6,"
					我不在乎这个阿嫲和那个阿嫲是不是同性恋，也不在乎一个女性的npc是个男性配音，我不能理解的是我几乎可以敲诈所有找我办事的人，但我无法找那个酒吧变性男要我的额外报酬，你是不是暗示他不是人？就他一个那么特殊，你是不是歧视他？不说了差评。",1,122,0.0006220039514754916
肥美多汁鲔鱼大腹寿司,Recommended,38.9,"
					非常好玩 
",0,12,0.7894736842105263
shengbo_tang,Recommended,5.6,"
					非常好玩的一款游戏，完美复刻了原作。",0,24,0.9995770954123603
旦暮之期,Recommended,55.9,"
					适合女生玩。有点益智游戏的感觉。",0,22,0.8739461814519465
CHAMBER,Recommended,112.3,"
					除了政治正确，这是一部很好的休闲动作游戏",1,26,0.9972501389268428
2962696359,Recommended,68.0,"
					推荐哈迷入手",0,12,0.9704969638556663
乱羽,Not Recommended,8.9,"
					只能说有点新意",0,13,0.07214128856117608
Ahobe,Not Recommended,15.2,"
					霍格沃茨遗产那年你是一个奖也没拿本以为是大年 对手太强实际是对手强对你也没啥影响 你本身就做得拉裤不拿奖你是一点也不冤枉啊作为一个逛街模拟器 你开始限制20个装备上限 我开箱子捡衣服根本不够梅林的试炼塞主线好几章后面解锁 我前期光逛街了 谁跑你主线啊衣服碎了拿不到金币 不碎捡不到衣服 wow作为一个换装模拟器 你没有捏脸搞政治正确 动不动再来点死亡打光作为一个沉溺剧情模拟器 你npc在剧情里好好好爱爱爱 出了剧情在学校里就连打个招呼说个hello都没有是吧别的垃圾解谜都懒得喷 战神敲钟你打牌是吧剧情也懒得喷 一个唯一能用古代魔法的 在支线任务被同学呼来喝去遛猴一样支线任务也是屎得堪比潜水员戴夫的鲛人村你这是罐头游戏吗 你这是僵尸注水肉游戏",1,329,0.9999980549011365
防奸行者,Recommended,42.7,"
					除了哈利波特各种细节和场景沉浸感，其他都是屎",0,28,0.9999706469202205
RichardChen,Recommended,42.0,"
					每天不上几节魔法课，心里就刺挠",0,21,0.9591682222083929
Arturia,Recommended,31.5,"
					一款魔法世界罐头游戏，主支线清完差不多30+小时，推荐哈利粉购买尝试。游戏很好的展示了哈利波特世界中霍格沃兹的学习生活。剧情个人觉得一般，战斗体验前期很新鲜，到后期其实反反复复就那么几个技能常用的，而且战斗略显单调，演出不错但不够宏大。主要还是买来体验魔法世界生活的。",0,140,1.0
风寻艾,Recommended,39.4,"
					即将入手玩家请注意：游戏优化：一般 比较吃配置游戏画质：惊艳 主要看你配置游戏寿命：正常只推主线30多小时游玩注意：玩家开局会选学院，这个根据自己喜好来即可，选哪个完全不影响主线剧情的推进和改变，游戏结局也能选择，但无论怎么选择也不影响通关后的游玩。其次能学阿瓦达索命时基本已经是大后期主线任务快完结了。游戏总结：游戏虽然罐头，除了推主线就是不断的学习不断的学习升等级再推主线，但让我坚持玩下去的就是剧情深入的吸引，让我想学习更多东西不断推进等级好解锁下一个主线，代入感确实强，完美的呈现了我心中的哈利波特。我想这也是我给予好评的一个原因。",0,276,1.0
Easy-rung,Recommended,45.2,"
					一款很不错的游戏",0,14,0.9720336412718094
FreeAbramsssss,Recommended,13.0,"
					完美的粉丝向游戏！",0,15,0.9597239521513716
VII,Recommended,27.4,"
					阿瓦达索命~阿瓦达索命~阿瓦达索命~",0,24,0.994538137172168
草叶yuer,Recommended,13.2,"
					哈哈哈好好好 
",0,14,0.9306782187611555
果味大魔王,Recommended,30.1,"
					可以中肯的说：优点不吃配置但是优化极其垃圾，优点魔法多但是一排4个还要滚轮切换操作极其恶心，只做主线还是挺好玩的，做支线基本就玩不下去了",0,74,0.07821735638257199
打熊的小绵羊,Recommended,72.4,"
					1800年的霍格沃茨，真不错",0,20,0.9784871209617088
苏泽,Recommended,65.0,"
					迄今为止我玩过的最让我投入的游戏，最后制作人员名单出来的适合我还是久久无法自拔，我感觉到我成为了我塑造的那个角色，我就是他，他就是我，每挥动一次魔杖，都是我对那个无比向往的世界最诚挚的爱，在此对罗琳，全体游戏制作团队，哈利波特系列电影和剧集的演员致以最诚挚的感谢",0,137,0.999999999950298
甜品绝缘体,Recommended,51.4,"
					肯大瓜啊肯大瓜",0,13,0.22379366125458588
瑶琴,Recommended,15.4,"
					确实挺不错的，圆了我的哈利波特梦",0,22,0.9997741674326605
Asicd,Recommended,37.0,"
					非常不错的粉丝向游戏",0,16,0.9694315194822417
